"id";"amount";"created";"currency";"description";"fee";"net";"source";"status";"type"
"txn_1J9zE9CmAIcalbBuRJfwrFYD";-199;"2021-07-05T21:21:17Z";"eur";"Curso Webinar 29445";"-2,388";"-196,612";"ch_1J9zE9CmAIcalbBu7r2WucQ3";"available";"charge"
"txn_1JA0gxCmAIcalbBuNbwTNt2r";-199;"2021-07-05T22:55:06Z";"eur";"Curso Webinar 29446";"-2,388";"-196,612";"ch_1JA0gwCmAIcalbBuUAk1wbEO";"available";"charge"
"txn_1JA09TCmAIcalbBuvpDba7QC";-249;"2021-07-05T22:20:30Z";"eur";"Curso Webinar 29464";"-2,988";"-246,012";"ch_1JA09SCmAIcalbBudAVDsRwV";"available";"charge"
"txn_1JA0lhCmAIcalbBuk4JXQ2X4";-249;"2021-07-05T23:00:00Z";"eur";"Curso Webinar 29480";"-2,988";"-246,012";"ch_1JA0lgCmAIcalbBuq3La4jDC";"available";"charge"
"txn_1J9z0QCmAIcalbBuxH9Dm4c3";-199;"2021-07-05T21:07:05Z";"eur";"Curso Webinar 29481";"-2,388";"-196,612";"ch_1J9z0PCmAIcalbBu41XOXev1";"available";"charge"
"txn_1JA0AeCmAIcalbBuQ508aan0";-199;"2021-07-05T22:21:43Z";"eur";"Curso Webinar 29482";"-2,388";"-196,612";"ch_1JA0AdCmAIcalbBuF7rnivy0";"available";"charge"
"txn_1JA0m6CmAIcalbBu904S55lw";-249;"2021-07-05T23:00:25Z";"eur";"Curso Webinar 29576";"-2,988";"-246,012";"ch_1JA0m5CmAIcalbBulF4kL5Ch";"available";"charge"
"txn_1JA0UYCmAIcalbBuKzpH9808";-249;"2021-07-05T22:42:16Z";"eur";"Curso Webinar 29594";"-2,988";"-246,012";"ch_1JA0UWCmAIcalbBuPxaRIaC0";"available";"charge"
"txn_1GdKPCCmAIcalbBunEOxl1M9";-199;"2020-04-29T18:13:08Z";"eur";"Curso Webinar 29596";"-2,388";"-196,612";"ch_1GdKPACmAIcalbBu0EiQmAPF";"available";"charge"
"txn_1GrTlbCmAIcalbBuBOReSwzK";-249;"2020-06-07T19:02:45Z";"eur";"Curso Webinar 29600";"-2,988";"-246,012";"ch_1GrTlZCmAIcalbBuuZx1lneH";"available";"charge"
