"numero_de_pedido";"estado_de_pedido";"fecha_de_pedido";"id cliente";"titulo_metodo_de_pago";"importe_de_descuento_del_carrito";"importe_subtotal_carrito";"importe_envio_pedido";"importe_reembolsado_pedido";"importe_total_pedido";"importe_total_de_impuestos_del_pedido";"sku";"articulo_numero";"nombre_del_articulo";"cantidad";"coste_articulo";"cupon_articulo";"importe_descuento";"importe_impuestos_descuento"
42310;"Completado";"2022-01-18 12:22";2658;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42353;"Completado";"2022-01-19 9:48";2659;"Stripe";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42355;"Completado";"2022-01-19 10:10";2638;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42480;"Completado";"2022-01-20 9:41";466;"Stripe";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42497;"Completado";"2022-01-21 8:25";463;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42498;"Completado";"2022-01-21 8:27";461;"Stripe";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42499;"Completado";"2022-01-21 9:05";462;"Pago con tarjeta";0.0;299.0;0;0;299;0.0;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42512;"Completado";"2022-01-21 15:06";925;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42513;"Completado";"2022-01-21 16:44";1400;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42514;"Completado";"2022-01-21 21:01";2463;"Stripe";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42516;"Completado";"2022-01-22 17:33";1130;"Pago con tarjeta";0.0;349.0;0;0;349;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42517;"Completado";"2022-01-22 21:24";306;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42518;"Completado";"2022-01-23 14:20";3814;"Pago con tarjeta";0.0;349.0;0;0;349;0.0;"";1;"MYSQL: Administracion de bases de datos";1;149.0;"";"";""
42519;"Completado";"2022-01-23 23:10";4290;"Stripe";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42520;"Completado";"2022-01-24 9:21";4472;"Pago con tarjeta";0.0;199.0;0;0;199;0.0;"";1;"MYSQL: Administracion de bases de datos";1;149.0;"";"";""
42521;"Completado";"2022-01-24 12:09";2337;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42522;"Procesando";"2022-01-24 12:16";90;"Visa ending in 0908";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42523;"Completado";"2022-01-24 12:43";96;"Pago con tarjeta";0.0;249.0;0;0;249;0.0;"001-2-1-1";1;"Aprende Python desde cero";1;249.0;"";"";""
42525;"Procesando";"2022-01-24 16:16";1929;"Visa ending in 1993";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42573;"Completado";"2022-01-27 11:20";586;"Stripe";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42576;"Completado";"2022-01-27 14:34";590;"Pago con tarjeta";0.0;349.0;0;0;349;0.0;"";1;"MYSQL: Administracion de bases de datos";1;149.0;"";"";""
42577;"Procesando";"2022-01-27 19:28";589;"Visa ending in 4371";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42578;"Completado";"2022-01-27 22:39";713;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42579;"Completado";"2022-01-28 1:29";1892;"Stripe";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42581;"Completado";"2022-01-28 7:55";1929;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42582;"Completado";"2022-01-28 10:39";4489;"Stripe";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42596;"Completado";"2022-01-28 17:26";4443;"Pago con tarjeta";0.0;249.0;0;0;249;0.0;"";1;"Aprende Python desde cero";1;249.0;"";"";""
42597;"Completado";"2022-01-28 19:33";1859;"Pago con tarjeta";0.0;299.0;0;0;299;0.0;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42598;"Completado";"2022-01-29 10:42";3431;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42599;"Completado";"2022-01-29 14:02";2565;"Pago con tarjeta";0.0;299.0;0;0;299;0.0;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42600;"Completado";"2022-01-30 10:44";473;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42601;"Completado";"2022-01-31 11:05";2717;"Stripe";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42603;"Completado";"2022-01-31 14:48";4412;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42604;"Completado";"2022-01-31 15:01";374;"Pago con tarjeta";0.0;349.0;0;0;349;0.0;"";1;"MYSQL: Administracion de bases de datos";1;149.0;"";"";""
42605;"Completado";"2022-01-31 16:18";108;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42606;"Completado";"2022-01-31 16:21";757;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42609;"Completado";"2022-01-31 20:30";2229;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42611;"Completado";"2022-01-31 22:23";2243;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42621;"Completado";"2022-01-31 23:00";4571;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42622;"Procesando";"2022-02-01 0:51";2216;"Amex ending in 5000";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42623;"Completado";"2022-02-01 6:18";3877;"Stripe";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42624;"Completado";"2022-02-01 7:53";2223;"Pago con tarjeta";0.0;299.0;0;0;299;0.0;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42625;"Procesando";"2022-02-01 9:10";1896;"Visa ending in 8946";0.0;299.0;0;0;299;1.73;"";1;"Conviertete en Analista de datos de cero a 100";1;299.0;"";"";""
42626;"Completado";"2022-02-01 9:39";3631;"Pago con tarjeta";0.0;299.0;0;0;299;0.0;"";1;"Power BI: Como crear dashborads inteligentes";1;199.0;"";"";""
42628;"Completado";"2022-02-01 10:10";4074;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42629;"Completado";"2022-02-01 10:41";356;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42651;"Completado";"2022-02-01 18:02";1307;"Pago con tarjeta";30.0;169.0;0;0;169;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"affiliate-credit-202204231515_470";"30";"0"
42666;"Completado";"2022-02-01 20:21";1324;"Pago con tarjeta";0.0;29.0;0;0;29;0.0;"001-2-1-1-1";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
42697;"Completado";"2022-02-01 21:42";1308;"Pago con tarjeta";0.0;699.0;0;0;699;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42698;"Completado";"2022-02-01 21:47";1333;"Fraccionar pago";0.0;349.0;0;0;349;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42699;"Completado";"2022-02-01 21:50";491;"Pago con tarjeta";0.0;299.0;0;0;299;0.0;"";1;"MYSQL: Analisis de datos avanzado";1;199.0;"";"";""
42700;"Completado";"2022-02-01 22:08";1901;"Pago con tarjeta";0.0;299.0;0;0;299;0.0;"";1;"Power BI: Como crear dashborads inteligentes";1;199.0;"";"";""
42701;"Completado";"2022-02-02 9:00";934;"Pago con tarjeta";0.0;189.0;0;0;189;0.0;"001-3";1;"Aprende Python desde cero";1;249.0;"";"";""
42705;"Completado";"2022-02-02 20:41";925;"Tarjeta de credito (Stripe)";0.0;29.0;0;0;29;0.0;"002-1-2-1-1-1-1-1-2-3-2";1;"Recursos gratis de un analista de datos";1;29.0;"";"";""
